,source,target,value
0,enrollment,navigation,1
1,navigation,navigation,1
2,navigation,navigation,1
3,navigation,navigation,1
4,navigation,navigation,1
5,navigation,navigation,1
6,navigation,navigation,1
7,navigation,navigation,1
8,navigation,problem,1
9,problem,problem,1
10,problem,problem,1
11,problem,problem,1
12,problem,problem,1
13,problem,problem,1
14,problem,problem,1
15,problem,problem,1
16,problem,problem,1
17,problem,problem,1
18,problem,problem,1
19,problem,problem,1
20,problem,problem,1
21,problem,problem,1
22,problem,problem,1
23,problem,problem,1
24,problem,navigation,1
25,navigation,problem,1
26,problem,problem,1
27,problem,problem,1
28,problem,problem,1
29,problem,problem,1
30,problem,problem,1
31,problem,problem,1
32,problem,problem,1
33,problem,problem,1
34,problem,problem,1
35,problem,problem,1
36,problem,problem,1
37,problem,problem,1
38,problem,problem,1
39,problem,problem,1
40,problem,problem,1
41,problem,navigation,1
42,navigation,problem,1
43,problem,problem,1
44,problem,problem,1
45,problem,problem,1
46,problem,problem,1
47,problem,problem,1
48,problem,problem,1
49,problem,problem,1
50,problem,problem,1
51,problem,problem,1
52,problem,problem,1
53,problem,problem,1
54,problem,problem,1
55,problem,problem,1
56,problem,problem,1
57,problem,problem,1
58,problem,problem,1
59,problem,problem,1
60,problem,problem,1
61,problem,problem,1
62,problem,problem,1
63,problem,problem,1
64,problem,problem,1
65,problem,problem,1
66,problem,problem,1
67,problem,problem,1
68,problem,problem,1
69,problem,problem,1
70,problem,problem,1
71,problem,problem,1
72,problem,problem,1
73,problem,problem,1
74,problem,problem,1
75,problem,problem,1
76,problem,problem,1
77,problem,problem,1
78,problem,problem,1
79,problem,problem,1
80,problem,problem,1
81,problem,problem,1
82,problem,problem,1
83,problem,problem,1
84,problem,problem,1
85,problem,problem,1
86,problem,problem,1
87,problem,problem,1
88,problem,problem,1
89,problem,problem,1
90,problem,problem,1
91,problem,problem,1
92,problem,navigation,1
93,navigation,navigation,1
94,navigation,problem,1
95,problem,problem,1
96,problem,problem,1
97,problem,problem,1
98,problem,problem,1
99,problem,problem,1
100,problem,problem,1
101,problem,problem,1
102,problem,problem,1
103,problem,problem,1
104,problem,problem,1
105,problem,problem,1
106,problem,problem,1
107,problem,problem,1
108,problem,problem,1
109,problem,problem,1
110,problem,problem,1
111,problem,problem,1
112,problem,problem,1
113,problem,problem,1
114,problem,problem,1
115,problem,problem,1
116,problem,problem,1
117,problem,problem,1
118,problem,problem,1
119,problem,problem,1
120,problem,problem,1
121,problem,problem,1
122,problem,problem,1
123,problem,problem,1
124,problem,problem,1
125,problem,problem,1
126,problem,problem,1
127,problem,problem,1
128,problem,problem,1
129,problem,problem,1
130,problem,problem,1
131,problem,problem,1
132,problem,problem,1
133,problem,problem,1
134,problem,navigation,1
135,navigation,problem,1
136,problem,problem,1
137,problem,problem,1
138,problem,problem,1
139,problem,problem,1
140,problem,problem,1
141,problem,problem,1
142,problem,problem,1
143,problem,problem,1
144,problem,problem,1
145,problem,problem,1
146,problem,problem,1
147,problem,problem,1
148,problem,problem,1
149,problem,problem,1
150,problem,problem,1
151,problem,problem,1
152,problem,problem,1
153,problem,problem,1
154,problem,problem,1
155,problem,problem,1
156,problem,problem,1
157,problem,problem,1
158,problem,problem,1
159,problem,problem,1
160,problem,problem,1
161,problem,problem,1
162,problem,problem,1
163,problem,problem,1
164,problem,problem,1
165,problem,problem,1
166,problem,problem,1
167,problem,problem,1
168,problem,problem,1
169,problem,problem,1
170,problem,problem,1
171,problem,problem,1
172,problem,problem,1
173,problem,problem,1
174,problem,problem,1
175,problem,navigation,1
176,navigation,navigation,1
177,navigation,problem,1
178,problem,problem,1
179,problem,problem,1
180,problem,problem,1
181,problem,navigation,1
182,navigation,problem,1
183,problem,problem,1
184,problem,problem,1
185,problem,problem,1
186,problem,navigation,1
187,navigation,navigation,1
188,navigation,problem,1
189,problem,problem,1
190,problem,problem,1
191,problem,problem,1
192,problem,problem,1
193,problem,problem,1
194,problem,problem,1
195,problem,problem,1
196,problem,problem,1
197,problem,problem,1
198,problem,problem,1
199,problem,problem,1
200,problem,problem,1
201,problem,problem,1
202,problem,problem,1
203,problem,problem,1
204,problem,problem,1
205,problem,problem,1
206,problem,problem,1
207,problem,problem,1
208,problem,problem,1
209,problem,problem,1
210,problem,problem,1
211,problem,problem,1
212,problem,problem,1
213,problem,problem,1
214,problem,problem,1
215,problem,problem,1
216,problem,problem,1
217,problem,problem,1
218,problem,navigation,1
219,navigation,navigation,1
220,navigation,problem,1
221,problem,problem,1
222,problem,navigation,1
223,navigation,problem,1
224,problem,problem,1
225,problem,navigation,1
226,navigation,problem,1
227,problem,problem,1
228,problem,problem,1
229,problem,problem,1
230,problem,problem,1
231,problem,navigation,1
232,navigation,problem,1
233,problem,problem,1
234,problem,problem,1
235,problem,problem,1
236,problem,navigation,1
237,navigation,problem,1
238,problem,problem,1
239,problem,problem,1
240,problem,problem,1
241,problem,navigation,1
242,navigation,problem,1
243,problem,problem,1
244,problem,problem,1
245,problem,navigation,1
246,enrollment,navigation,1
247,navigation,navigation,1
248,navigation,navigation,1
249,navigation,navigation,1
250,navigation,problem,1
251,problem,problem,1
252,problem,problem,1
253,problem,problem,1
254,problem,problem,1
255,problem,problem,1
256,problem,problem,1
257,problem,problem,1
258,problem,navigation,1
259,navigation,navigation,1
260,navigation,navigation,1
261,navigation,problem,1
262,problem,problem,1
263,problem,problem,1
264,problem,problem,1
265,problem,problem,1
266,problem,problem,1
267,problem,navigation,1
268,navigation,navigation,1
269,navigation,problem,1
270,problem,problem,1
271,problem,problem,1
272,problem,problem,1
273,problem,problem,1
274,problem,problem,1
275,problem,problem,1
276,problem,problem,1
277,problem,problem,1
278,problem,problem,1
279,problem,problem,1
280,problem,problem,1
281,problem,problem,1
282,problem,navigation,1
283,enrollment,navigation,1
284,navigation,navigation,1
285,navigation,navigation,1
286,navigation,problem,1
287,problem,problem,1
288,problem,problem,1
289,problem,problem,1
290,problem,problem,1
291,problem,problem,1
292,problem,problem,1
293,problem,problem,1
294,problem,problem,1
295,problem,problem,1
296,problem,problem,1
297,problem,problem,1
298,problem,navigation,1
299,navigation,problem,1
300,problem,problem,1
301,problem,problem,1
302,problem,problem,1
303,problem,problem,1
304,problem,problem,1
305,problem,problem,1
306,problem,problem,1
307,problem,problem,1
308,problem,problem,1
309,problem,problem,1
310,problem,problem,1
311,problem,problem,1
312,problem,problem,1
313,problem,problem,1
314,problem,problem,1
315,problem,problem,1
316,problem,problem,1
317,problem,problem,1
318,problem,problem,1
319,problem,problem,1
320,problem,problem,1
321,problem,problem,1
322,problem,problem,1
323,problem,problem,1
324,problem,problem,1
325,problem,problem,1
326,problem,problem,1
327,problem,problem,1
328,problem,problem,1
329,problem,problem,1
330,problem,problem,1
331,problem,problem,1
332,problem,problem,1
333,problem,problem,1
334,problem,problem,1
335,problem,problem,1
336,problem,problem,1
337,problem,problem,1
338,problem,problem,1
339,problem,problem,1
340,problem,problem,1
341,problem,problem,1
342,problem,problem,1
343,problem,problem,1
344,problem,problem,1
345,problem,problem,1
346,problem,problem,1
347,problem,problem,1
348,problem,problem,1
349,problem,problem,1
350,problem,problem,1
351,problem,problem,1
352,problem,problem,1
353,problem,problem,1
354,problem,problem,1
355,problem,problem,1
356,problem,problem,1
357,problem,problem,1
358,problem,problem,1
359,problem,problem,1
360,problem,problem,1
361,problem,problem,1
362,problem,problem,1
363,problem,problem,1
364,problem,problem,1
365,problem,problem,1
366,problem,problem,1
367,problem,problem,1
368,problem,problem,1
369,problem,problem,1
370,problem,problem,1
371,problem,problem,1
372,problem,problem,1
373,problem,problem,1
374,problem,problem,1
375,problem,problem,1
376,problem,problem,1
377,problem,problem,1
378,problem,problem,1
379,problem,problem,1
380,problem,problem,1
381,problem,problem,1
382,problem,problem,1
383,problem,problem,1
384,problem,problem,1
385,problem,problem,1
386,problem,problem,1
387,problem,problem,1
388,problem,problem,1
389,problem,problem,1
390,problem,problem,1
391,problem,problem,1
392,problem,problem,1
393,problem,problem,1
394,problem,problem,1
395,problem,problem,1
396,problem,problem,1
397,problem,problem,1
398,problem,problem,1
399,problem,problem,1
400,problem,navigation,1
401,navigation,problem,1
402,problem,problem,1
403,problem,navigation,1
404,navigation,problem,1
405,problem,problem,1
406,problem,problem,1
407,problem,problem,1
408,problem,problem,1
409,problem,navigation,1
410,navigation,problem,1
411,problem,problem,1
412,problem,problem,1
413,problem,problem,1
414,problem,problem,1
415,problem,problem,1
416,problem,problem,1
417,problem,problem,1
418,problem,problem,1
419,problem,problem,1
420,problem,problem,1
421,problem,problem,1
422,problem,problem,1
423,problem,problem,1
424,problem,problem,1
425,problem,problem,1
426,problem,problem,1
427,problem,problem,1
428,problem,problem,1
429,problem,problem,1
430,problem,problem,1
431,problem,problem,1
432,problem,problem,1
433,problem,problem,1
434,problem,problem,1
435,problem,problem,1
436,problem,problem,1
437,problem,problem,1
438,problem,problem,1
439,problem,problem,1
440,problem,problem,1
441,problem,problem,1
442,problem,problem,1
443,problem,problem,1
444,problem,problem,1
445,problem,problem,1
446,problem,problem,1
447,problem,problem,1
448,problem,problem,1
449,problem,problem,1
450,problem,problem,1
451,problem,problem,1
452,problem,problem,1
453,problem,problem,1
454,problem,problem,1
455,problem,problem,1
456,problem,problem,1
457,problem,problem,1
458,problem,problem,1
459,problem,problem,1
460,problem,problem,1
461,problem,problem,1
462,problem,problem,1
463,problem,problem,1
464,problem,problem,1
465,problem,problem,1
466,problem,problem,1
467,problem,problem,1
468,problem,problem,1
469,problem,problem,1
470,problem,problem,1
471,problem,problem,1
472,problem,problem,1
473,problem,problem,1
474,problem,problem,1
475,problem,problem,1
476,problem,problem,1
477,problem,problem,1
478,problem,problem,1
479,problem,problem,1
480,problem,problem,1
481,problem,problem,1
482,problem,problem,1
483,problem,problem,1
484,problem,problem,1
485,problem,problem,1
486,problem,problem,1
487,problem,problem,1
488,problem,problem,1
489,problem,problem,1
490,problem,problem,1
491,problem,navigation,1
492,navigation,problem,1
493,problem,problem,1
494,problem,problem,1
495,problem,problem,1
496,problem,problem,1
497,problem,problem,1
498,problem,problem,1
499,problem,problem,1
500,problem,problem,1
501,problem,problem,1
502,problem,problem,1
503,problem,problem,1
504,problem,problem,1
505,problem,problem,1
506,problem,problem,1
507,problem,problem,1
508,problem,problem,1
509,problem,problem,1
510,problem,problem,1
511,problem,problem,1
512,problem,problem,1
513,problem,problem,1
514,problem,problem,1
515,problem,problem,1
516,problem,problem,1
517,problem,problem,1
518,problem,problem,1
519,problem,problem,1
520,problem,problem,1
521,problem,problem,1
522,problem,problem,1
523,problem,problem,1
524,problem,problem,1
525,problem,problem,1
526,problem,problem,1
527,problem,problem,1
528,problem,problem,1
529,problem,problem,1
530,problem,problem,1
531,problem,problem,1
532,problem,problem,1
533,problem,problem,1
534,problem,problem,1
535,problem,problem,1
536,problem,problem,1
537,problem,problem,1
538,problem,problem,1
539,problem,problem,1
540,problem,problem,1
541,problem,problem,1
542,problem,problem,1
543,problem,problem,1
544,problem,problem,1
545,problem,problem,1
546,problem,problem,1
547,problem,problem,1
548,problem,problem,1
549,problem,problem,1
550,problem,problem,1
551,problem,problem,1
552,problem,problem,1
553,problem,problem,1
554,problem,problem,1
555,problem,problem,1
556,problem,problem,1
557,problem,problem,1
558,problem,problem,1
559,problem,problem,1
560,problem,problem,1
561,problem,problem,1
562,problem,problem,1
563,problem,navigation,1
564,navigation,problem,1
565,problem,problem,1
566,problem,problem,1
567,problem,problem,1
568,problem,problem,1
569,problem,problem,1
570,problem,problem,1
571,problem,problem,1
572,problem,problem,1
573,problem,problem,1
574,problem,problem,1
575,problem,problem,1
576,problem,problem,1
577,problem,problem,1
578,problem,problem,1
579,problem,problem,1
580,problem,problem,1
581,problem,problem,1
582,problem,problem,1
583,problem,problem,1
584,problem,problem,1
585,problem,problem,1
586,problem,problem,1
587,problem,problem,1
588,problem,problem,1
589,problem,problem,1
590,problem,problem,1
591,problem,problem,1
592,problem,problem,1
593,problem,problem,1
594,problem,problem,1
595,problem,problem,1
596,problem,problem,1
597,problem,problem,1
598,problem,problem,1
599,problem,problem,1
600,problem,problem,1
601,problem,problem,1
602,problem,problem,1
603,problem,problem,1
604,problem,problem,1
605,problem,problem,1
606,problem,problem,1
607,problem,navigation,1
608,navigation,navigation,1
609,navigation,navigation,1
610,enrollment,navigation,1
611,navigation,navigation,1
612,navigation,problem,1
613,problem,problem,1
614,problem,problem,1
615,problem,problem,1
616,problem,problem,1
617,problem,navigation,1
618,navigation,problem,1
619,problem,problem,1
620,problem,navigation,1
621,navigation,problem,1
622,problem,problem,1
623,problem,navigation,1
624,navigation,navigation,1
625,navigation,navigation,1
626,navigation,navigation,1
627,navigation,navigation,1
628,navigation,navigation,1
629,navigation,navigation,1
630,navigation,navigation,1
631,navigation,navigation,1
632,enrollment,navigation,1
633,navigation,problem,1
634,problem,problem,1
635,problem,navigation,1
636,navigation,problem,1
637,problem,problem,1
638,problem,problem,1
639,problem,navigation,1
640,navigation,problem,1
641,problem,problem,1
642,problem,problem,1
643,problem,problem,1
644,problem,navigation,1
645,navigation,navigation,1
646,navigation,navigation,1
647,navigation,navigation,1
648,navigation,problem,1
649,problem,problem,1
650,problem,navigation,1
651,enrollment,navigation,1
652,navigation,navigation,1
653,navigation,navigation,1
654,navigation,navigation,1
655,navigation,navigation,1
656,navigation,navigation,1
657,navigation,navigation,1
658,navigation,navigation,1
659,navigation,navigation,1
660,navigation,navigation,1
661,navigation,navigation,1
662,navigation,navigation,1
663,navigation,navigation,1
664,navigation,navigation,1
665,navigation,navigation,1
666,navigation,navigation,1
667,navigation,navigation,1
668,navigation,navigation,1
669,navigation,navigation,1
670,navigation,navigation,1
671,navigation,navigation,1
672,navigation,navigation,1
673,navigation,problem,1
674,problem,problem,1
675,problem,navigation,1
676,navigation,problem,1
677,problem,problem,1
678,problem,problem,1
679,problem,problem,1
680,problem,problem,1
681,problem,problem,1
682,problem,problem,1
683,problem,problem,1
684,problem,problem,1
685,problem,problem,1
686,problem,problem,1
687,problem,problem,1
688,problem,problem,1
689,problem,problem,1
690,problem,problem,1
691,problem,problem,1
692,problem,problem,1
693,problem,problem,1
694,problem,navigation,1
695,navigation,problem,1
696,problem,problem,1
697,problem,problem,1
698,problem,problem,1
699,problem,problem,1
700,problem,problem,1
701,problem,problem,1
702,problem,problem,1
703,problem,problem,1
704,problem,problem,1
705,problem,problem,1
706,problem,problem,1
707,problem,problem,1
708,problem,problem,1
709,problem,problem,1
710,problem,problem,1
711,problem,problem,1
712,problem,problem,1
713,problem,navigation,1
714,navigation,problem,1
715,problem,problem,1
716,problem,problem,1
717,problem,problem,1
718,problem,problem,1
719,problem,navigation,1
720,navigation,problem,1
721,problem,problem,1
722,problem,problem,1
723,problem,problem,1
724,problem,problem,1
725,problem,problem,1
726,problem,problem,1
727,problem,problem,1
728,problem,problem,1
729,problem,problem,1
730,problem,problem,1
731,problem,problem,1
732,problem,problem,1
733,problem,problem,1
734,problem,problem,1
735,problem,problem,1
736,problem,problem,1
737,problem,problem,1
738,problem,problem,1
739,problem,problem,1
740,problem,problem,1
741,problem,problem,1
742,problem,navigation,1
743,navigation,problem,1
744,problem,problem,1
745,problem,problem,1
746,problem,problem,1
747,problem,problem,1
748,problem,problem,1
749,problem,problem,1
750,problem,problem,1
751,problem,problem,1
752,problem,problem,1
753,problem,navigation,1
754,navigation,problem,1
755,problem,problem,1
756,problem,problem,1
757,problem,problem,1
758,problem,problem,1
759,problem,navigation,1
760,navigation,problem,1
761,problem,problem,1
762,problem,problem,1
763,problem,problem,1
764,problem,problem,1
765,problem,problem,1
766,problem,problem,1
767,problem,problem,1
768,problem,problem,1
769,problem,navigation,1
770,navigation,problem,1
771,problem,problem,1
772,problem,problem,1
773,problem,problem,1
774,problem,problem,1
775,problem,problem,1
776,problem,problem,1
777,problem,problem,1
778,problem,problem,1
779,problem,problem,1
780,problem,problem,1
781,problem,problem,1
782,problem,problem,1
783,problem,problem,1
784,problem,problem,1
785,problem,problem,1
786,problem,problem,1
787,problem,problem,1
788,problem,problem,1
789,problem,problem,1
790,problem,problem,1
791,problem,problem,1
792,problem,problem,1
793,problem,problem,1
794,problem,problem,1
795,problem,problem,1
796,problem,problem,1
797,problem,navigation,1
798,navigation,problem,1
799,problem,problem,1
800,problem,problem,1
801,problem,problem,1
802,problem,problem,1
803,problem,navigation,1
804,navigation,problem,1
805,problem,problem,1
806,problem,navigation,1
807,navigation,problem,1
808,problem,problem,1
809,problem,problem,1
810,problem,problem,1
811,problem,problem,1
812,problem,problem,1
813,problem,problem,1
814,problem,problem,1
815,problem,problem,1
816,problem,problem,1
817,problem,problem,1
818,problem,problem,1
819,problem,problem,1
820,problem,problem,1
821,problem,problem,1
822,problem,problem,1
823,problem,problem,1
824,problem,problem,1
825,problem,problem,1
826,problem,problem,1
827,problem,problem,1
828,problem,navigation,1
829,navigation,problem,1
830,problem,problem,1
831,problem,problem,1
832,problem,navigation,1
833,navigation,problem,1
834,problem,problem,1
835,problem,problem,1
836,problem,problem,1
837,problem,problem,1
838,problem,problem,1
839,problem,problem,1
840,problem,problem,1
841,problem,problem,1
842,problem,problem,1
843,problem,problem,1
844,problem,problem,1
