	username	marks
0	sachinsable	19
1	Jyotsna_Prasad	11
2	harshsharma94	15
3	AadityaH	10
4	Birundha	10
5	shaswat	16
6	Jineet	13
7	adithyadas	14
8	tjc	13
9	Pallavi	16
10	KavleenKalra	11
11	ushubham27	19
12	sameer9311	18
13	Banani	8
14	rajat0001	18
15	purwa	12
16	Palak	6
17	PoonamKumari	13
18	Shraiya	19
19	SamRanSri	15
20	LavishKothari	9
21	mohitgurnani1	16
22	SoniaV	12
23	yogendracse	10
24	Janaki	17
25	aayush1993	17
26	rakhi	10
27	sukanya	18
28	rakshita_vijay	10
29	akansha	12
30	Khushbu	15
31	abnth	13
32	Prashant	19
33	ayuman	9
34	tangy	12
35	vishali	18
36	aroraankush26	19
37	devanshu14	11
38	sunandini	6
39	Ashish	10
40	RakshitSingla	14
41	shobhit345	16
42	AnkitKr	11
43	Mansi6	9
44	Suman	12
45	vishnupriya1994	9
46	purva	8
47	amoghk	11
48	som	16
49	RajarshiSarkar	20
50	Mansha	9
51	rounak	20
52	Vishakha	10
53	SukalyanBhakat	12
54	Prakhar	19
55	prongs7	14
56	ankitmithu005	19
57	rishabhdabraliiit	18
58	Naman	18
59	sunilraiyani	18
60	ashish1294	16
61	KaushikBhagwatkar	19
62	Abhiruchi	10
63	ankurgarg101	18
64	Himalini	10
65	nadipalli14	8
66	JayamModi	17
67	gaurav1994	16
68	ayushi	9
69	aadill	14
70	BhargaviParanjape	19
71	sampathkolachana	10
72	DJ24	15
73	Anushree1993	9
