	username	course	pid	timeinsecs
0	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	e5bf608295034e328bdfd5bbe089f8d4	54
1	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	5593e99f843c4ae08d443ad4cbbefea7	76
2	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	158aaa2e7c334ee9a813da30987b611f	44
3	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0a35715d98be4af2909014643408e638	5
4	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	c92a942dfd0d4c71a1e379eba1a0eaed	116
5	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	c2218c1943864a24929437efd003d4c8	44
6	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	38b28e4190b1455ba3da10b0b2415ff9	87
7	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	58ecf7c8c086472098b7c9657fb7ab15	111
8	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	4d11913517f447eb9d93da892919f899	10
9	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	ba4ab70d47ca443c853962c3261c43fc	16
10	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	8bbd41d57b2c449ea70f7408b0eee82a	44
11	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	f8a33a8c8b2b42d0b37c5088a7a88ef6	118
12	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	baaaf869794a43ddbc6ee8a064615f5f	65
13	KavleenKalra	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	10ab65b00067459d8fadbcb027fff8a8	77
14	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0a35715d98be4af2909014643408e638	70
15	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	d9a1efdc4b834e9d81ca250c50b8254d	66
16	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	537483eeff6841888218c835ea15cb58	47
17	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0ad865549aef4b4bb9927b01611b5ae9	49
18	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	78a8241a9acb426cada5d8a1404aed36	186
19	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	38b28e4190b1455ba3da10b0b2415ff9	19
20	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	e5bf608295034e328bdfd5bbe089f8d4	62
21	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	c92a942dfd0d4c71a1e379eba1a0eaed	258
22	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	10ab65b00067459d8fadbcb027fff8a8	11
23	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	baaaf869794a43ddbc6ee8a064615f5f	5
24	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	9d164bbabe374e60b659f329e4b9f5e6	6
25	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	4d11913517f447eb9d93da892919f899	15
26	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	ba4ab70d47ca443c853962c3261c43fc	2
27	SukalyanBhakat	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	8bbd41d57b2c449ea70f7408b0eee82a	7
28	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0a35715d98be4af2909014643408e638	45
29	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	d9a1efdc4b834e9d81ca250c50b8254d	25
30	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	537483eeff6841888218c835ea15cb58	12
31	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0ad865549aef4b4bb9927b01611b5ae9	16
32	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	38b28e4190b1455ba3da10b0b2415ff9	36
33	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	e5bf608295034e328bdfd5bbe089f8d4	100
34	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	c2218c1943864a24929437efd003d4c8	161
35	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	158aaa2e7c334ee9a813da30987b611f	39
36	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	5593e99f843c4ae08d443ad4cbbefea7	48
37	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	c92a942dfd0d4c71a1e379eba1a0eaed	4
38	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	f8a33a8c8b2b42d0b37c5088a7a88ef6	57
39	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	baaaf869794a43ddbc6ee8a064615f5f	60
40	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	9d164bbabe374e60b659f329e4b9f5e6	25
41	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	4d11913517f447eb9d93da892919f899	12
42	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	ba4ab70d47ca443c853962c3261c43fc	2
43	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	8bbd41d57b2c449ea70f7408b0eee82a	3
44	akansha	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	78a8241a9acb426cada5d8a1404aed36	4
45	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0a35715d98be4af2909014643408e638	19
46	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	d9a1efdc4b834e9d81ca250c50b8254d	38
47	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	0ad865549aef4b4bb9927b01611b5ae9	97
48	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	537483eeff6841888218c835ea15cb58	11
49	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	e5bf608295034e328bdfd5bbe089f8d4	147
50	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	58ecf7c8c086472098b7c9657fb7ab15	4
51	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	78a8241a9acb426cada5d8a1404aed36	41
52	ashish1294	Summer_Intern_IIT_Mumbai/SI005/2014_SI_May	ce2b55b6347e48ac91779a2624ab3b48	32
